,mode,index_col,avC,avP,sdC,sdP,avR,maxC,maxP,stdCR,stdCP,AvRR
7,DailyRinse,7,1.634571429,336.6809524,2.548550025,603.7360779,617.6421586,1.75,268,0.648577666,104.2012917,691.2640195
8,DailyRinse,8,1.469291667,299.8583333,2.423886691,573.0221986,668.5432979,0.77,113,0.166974773,25.50503669,1024.851272
9,DailyRinse,9,1.398,279.9925926,2.301823199,543.9322065,650.7445161,1.71,262,0.590427568,94.28384633,508.3542622
10,DailySpin,10,1.287366667,255.4966667,2.208857526,521.1781899,687.6884021,0.6,76,0.13419192,17.91259109,1020.183376
11,DailySpin,11,1.321181818,255.5545455,2.116642578,497.7630066,640.404444,2.72,433,0.626098667,101.5873103,167.5648627
12,DailySpin,12,1.268108108,241.3189189,2.038940075,475.7142522,745.2825379,2.69,429,1.148677026,187.5565129,1610.526813
0,DailyWash,0,2.278333333,481.6666667,3.00806741,710.1049137,645.1564375,7.17,1646,3.00806741,710.1049137,645.1564375
1,DailyWash,1,2.4606,527.6,3.089482758,730.9297685,627.2297841,7.24,1677,3.267085294,774.5014356,600.339804
2,DailyWash,2,3.45725,765.4625,3.342129608,792.5357308,488.7793398,7.23,1675,3.119874095,740.4204467,258.0285992
3,DailyWash,3,2.988,654.19,3.253444794,771.6560925,519.6313746,7.09,1632,2.018474932,479.9294795,643.0395138
4,DailyWash,4,2.565166667,553.7,3.115945433,739.1451183,531.7528018,0.58,75,0.104271912,16.4184588,592.359938
5,DailyWash,5,2.148666667,454.2933333,2.907643864,690.0447855,532.3285322,0.59,71,0.090284353,13.35544144,534.6314536
6,DailyRinse,6,1.852222222,386.2888889,2.735415068,647.8148529,577.625303,0.55,73,0.140295255,18.21127603,804.1091569
7,DailyRinse,7,1.718,350.0857143,2.562882983,607.1705516,559.6951284,1.94,298,0.608071759,97.87491431,452.1140809
8,DailyRinse,8,1.5365,310.4041667,2.445166747,577.5086001,650.1881682,0.63,82,0.167200066,23.39832492,1283.639447
9,DailyRinse,9,1.46862963,291.062963,2.320770601,547.9259506,623.617384,1.96,302,0.585306777,91.26707052,411.0511101
10,DailySpin,10,1.358566667,266.3833333,2.226698655,525.0350678,658.410222,0.62,81,0.182216241,25.19706241,971.5457643
11,DailySpin,11,1.291060606,250.1939394,2.137891846,503.5831356,656.040167,1.63,250,0.461822477,70.77704187,632.3396174
12,DailySpin,12,1.317810811,248.8810811,2.036722037,477.3323193,631.9929866,2.4,378,0.797330643,127.7908849,433.6037475
0,DailyWash,0,2.200666667,475.1,3.016503952,713.5367158,709.1905195,7.19,1656,3.016503952,713.5367158,709.1905195
1,DailyWash,1,2.3266,501.34,3.033544845,720.3317719,556.2946985,7.2,1659,3.127537244,747.2218793,326.950967
2,DailyWash,2,3.293125,731.7375,3.31509268,789.8242353,416.316155,7.24,1684,3.177094313,760.6533912,183.0185824
3,DailyWash,3,3.3307,740.33,3.320393142,791.3764898,404.6076253,7.2,1662,3.423709745,817.245122,357.7735067
4,DailyWash,4,2.8485,625.2083333,3.21680792,766.7515336,458.1391145,0.56,69,0.146606347,20.31955242,725.7965607
5,DailyWash,5,2.3664,510.1066667,3.033790523,723.1556234,503.601116,0.58,62,0.135453262,18.64024197,685.449122
6,DailyRinse,6,2.054666667,435.8,2.856338125,680.6382102,522.0266303,1.07,160,0.232135513,35.01323231,614.1542017
7,DailyRinse,7,1.882380952,391.2952381,2.689368231,640.6291379,544.6999315,1.9,294,0.69066052,110.5007203,680.7397383
8,DailyRinse,8,1.688416667,347.6333333,2.567722399,610.2225389,606.7922666,0.72,105,0.179519153,25.81231997,1041.438612
9,DailyRinse,9,1.597962963,323.2111111,2.441967471,580.2067602,593.4567846,1.85,285,0.606144875,96.67010497,486.772929
10,DailySpin,10,1.4693,294.5666667,2.348767522,557.0639158,634.9057267,0.58,78,0.155091371,22.16814013,1007.946205
11,DailySpin,11,1.477909091,289.4575758,2.244886697,531.9364632,593.6360066,2.28,358,0.533702746,87.25210533,180.9388062
0,DailyWash,0,2.246666667,483.1333333,3.024908472,717.3184131,621.9830413,7.21,1661,3.024908472,717.3184131,621.9830413
1,DailyWash,1,2.1992,471.02,2.971977861,706.3452786,578.3120743,7.21,1664,2.967179416,707.6435525,512.8056237
2,DailyWash,2,3.209,711.825,3.324677809,789.9492337,490.2603691,7.24,1668,3.240187734,768.3097922,343.507527
